Timestamp (from 1970),Date,Time,Lat,Long,Speed (m/s),Heading,HR,Distance (m),Calories (SUM)
1728810763.0001206,13/10/24,12:12:43 PM,37.9365204632,23.6623104255,2.3087,162.66,125.0,6812.598489424804,6.403

1728810764.0001206,13/10/24,12:12:44 PM,37.936500356,23.6623132026,2.3165,162.45,126.0,6810.353372664522,6.869

1728810765.0001206,13/10/24,12:12:45 PM,37.9364794548,23.6623184219,2.3165,165.19,126.0,6807.9885022269045,6.869

1728810767.000121,13/10/24,12:12:47 PM,37.9364459463,23.662333023,2.2443,165.46,126.0,6804.053961264199,6.869

1728810768.0001206,13/10/24,12:12:48 PM,37.9364273389,23.662339172,2.2443,165.7,126.0,6801.919061702359,6.869

1728810769.0001216,13/10/24,12:12:49 PM,37.9364047663,23.6623445069,2.3117,166.0,120.0,6799.370094405996,7.811

1728810770.0001202,13/10/24,12:12:50 PM,37.9363839837,23.6623500517,2.3392,166.98,120.0,6797.012387362656,7.811

1728810771.0001202,13/10/24,12:12:51 PM,37.9363612344,23.6623528503,2.3271,172.52,120.0,6794.475365913838,7.811

1728810772.0001192,13/10/24,12:12:52 PM,37.9363406388,23.6623541115,2.3271,173.79,120.0,6792.186664776606,7.811

1728810773.0001192,13/10/24,12:12:53 PM,37.9363201035,23.6623536738,2.3025,174.55,120.0,6789.90701889838,7.811

1728810774.0001197,13/10/24,12:12:54 PM,37.9362997635,23.6623535421,2.2988,172.78,107.0,6787.649345460191,9.128

1728810775.0001187,13/10/24,12:12:55 PM,37.9362781509,23.6623559892,2.304,172.93,107.0,6785.240822944034,9.128

1728810776.0001183,13/10/24,12:12:56 PM,37.9362573191,23.662359675,2.304,169.55,107.0,6782.906000037877,9.128

1728810777.0001187,13/10/24,12:12:57 PM,37.9362333316,23.6623633842,2.367,177.05,107.0,6780.223608770125,9.128

1728810778.0001183,13/10/24,12:12:58 PM,37.9362151487,23.6623666762,2.367,184.17,107.0,6778.184750072249,9.128

1728810779.000118,13/10/24,12:12:59 PM,37.9361944016,23.6623639145,2.3431,185.91,106.0,6775.869158046019,9.868

1728810780.0001173,13/10/24,12:13:00 PM,37.9361695943,23.6623566882,2.3895,186.27,106.0,6773.043335904534,9.868

1728810781.0001173,13/10/24,12:13:01 PM,37.9361458713,23.6623531254,2.3664,194.39,106.0,6770.391633640233,9.868

1728810782.0001168,13/10/24,12:13:02 PM,37.936124125,23.6623462942,2.3695,200.48,106.0,6767.9043159775565,9.868

1728810783.0001159,13/10/24,12:13:03 PM,37.9361051439,23.6623358342,2.3664,202.74,106.0,6765.605581037997,9.868

1728810784.0001154,13/10/24,12:13:04 PM,37.9360862489,23.6623243187,2.3213,201.76,105.0,6763.27679260216,10.232

1728810786.0001152,13/10/24,12:13:06 PM,37.936052867,23.6623004844,2.2651,207.4,105.0,6759.020176378469,10.232

1728810787.0001154,13/10/24,12:13:07 PM,37.9360370714,23.6622880013,2.258,210.29,105.0,6756.951828131212,10.232

1728810789.0001132,13/10/24,12:13:09 PM,37.9360097811,23.6622628859,2.1614,214.77,108.0,6753.203487720764,10.95

1728810791.0001128,13/10/24,12:13:11 PM,37.9359861917,23.6622409983,2.1032,215.54,108.0,6749.954218679591,10.95

1728810792.0001123,13/10/24,12:13:12 PM,37.9359686231,23.6622284748,2.0987,213.03,108.0,6747.714876146441,10.95

1728810793.0001118,13/10/24,12:13:13 PM,37.9359545869,23.6622132863,2.0808,214.93,108.0,6745.663054460685,10.95

1728810795.0001104,13/10/24,12:13:15 PM,37.9359255391,23.6621860141,2.054,214.09,109.0,6741.645209197624,11.7

1728810797.0001094,13/10/24,12:13:17 PM,37.9359017354,23.6621676407,1.9946,208.0,109.0,6738.548519310693,11.7

1728810799.0001082,13/10/24,12:13:19 PM,37.9358724502,23.6621501528,1.9555,207.73,113.0,6734.952789086178,11.7

1728810801.0001078,13/10/24,12:13:21 PM,37.9358427307,23.6621245641,1.9494,210.59,113.0,6730.960085722339,12.46

1728810803.0001056,13/10/24,12:13:23 PM,37.9358159682,23.6621077809,1.9178,206.6,113.0,6727.643354883365,12.46

1728810805.0001051,13/10/24,12:13:25 PM,37.935784232,23.662092544,1.8867,204.52,107.0,6723.874717990558,13.264

1728810806.0001044,13/10/24,12:13:26 PM,37.9357659341,23.6620851278,1.8844,200.86,107.0,6721.741664560011,13.264

1728810808.000103,13/10/24,12:13:28 PM,37.9357378829,23.6620728985,1.8422,202.82,107.0,6718.447738042305,13.264

1728810810.0001018,13/10/24,12:13:30 PM,37.9357067866,23.6620546119,1.9073,203.77,103.0,6714.640198364026,14.004

1728810811.0001016,13/10/24,12:13:31 PM,37.9356894363,23.6620438603,1.9073,201.63,103.0,6712.494963149632,14.004

1728810812.0001016,13/10/24,12:13:32 PM,37.9356701773,23.6620327545,1.9789,203.41,103.0,6710.14491341424,14.004

1728810813.0001001,13/10/24,12:13:33 PM,37.9356532136,23.6620226756,1.9795,204.91,103.0,6708.063973397738,14.004

1728810814.0000992,13/10/24,12:13:34 PM,37.9356358136,23.6620125931,1.9907,208.34,103.0,6705.938983090496,14.004

1728810815.0001001,13/10/24,12:13:35 PM,37.9356192494,23.6620016564,1.9933,209.96,103.0,6703.86422871304,14.352

1728810816.0000982,13/10/24,12:13:36 PM,37.9356018421,23.6619919477,1.9933,208.91,103.0,6701.751992117035,14.352

1728810817.0000985,13/10/24,12:13:37 PM,37.9355862659,23.6619789684,2.0078,212.8,103.0,6699.680542242304,14.352

1728810818.0000973,13/10/24,12:13:38 PM,37.93557064,23.6619647935,2.0092,215.44,103.0,6697.544915634601,14.352

1728810819.0000963,13/10/24,12:13:39 PM,37.9355552808,23.6619508501,2.0231,214.43,105.0,6695.44520415737,14.352

1728810820.0000968,13/10/24,12:13:40 PM,37.9355407791,23.6619357743,2.0231,214.92,105.0,6693.360191691985,15.755

1728810821.0000954,13/10/24,12:13:41 PM,37.935526177,23.6619209461,2.017,213.84,105.0,6691.280274187909,15.755

1728810822.0000951,13/10/24,12:13:42 PM,37.935509835,23.661905578,2.0032,213.08,105.0,6689.018560977662,15.755

1728810824.000094,13/10/24,12:13:44 PM,37.9354782968,23.6618872382,2.0263,205.23,106.0,6685.164548744153,15.755

1728810826.0000935,13/10/24,12:13:46 PM,37.9354459824,23.6618702866,2.0216,204.5,106.0,6681.280554182512,16.473

1728810827.0000916,13/10/24,12:13:47 PM,37.9354288211,23.6618603337,2.0012,200.1,106.0,6679.18439563023,16.473

1728810829.0000908,13/10/24,12:13:49 PM,37.9353950817,23.6618487661,1.9543,195.51,106.0,6675.303874097203,16.473

1728810831.0000901,13/10/24,12:13:51 PM,37.9353624022,23.661840827,1.9504,193.36,106.0,6671.6100722273195,16.837

1728810833.0000882,13/10/24,12:13:53 PM,37.9353294623,23.661834636,1.9352,186.67,106.0,6667.913614361783,16.837

1728810835.000088,13/10/24,12:13:55 PM,37.935296227,23.6618318002,1.9224,188.72,104.0,6664.216239670536,17.201

1728810836.0000863,13/10/24,12:13:56 PM,37.9352777154,23.6618277414,1.9224,182.32,104.0,6662.130789887271,17.201

1728810837.0000863,13/10/24,12:13:57 PM,37.9352589523,23.6618284566,1.9246,180.07,104.0,6660.047225762263,17.201

1728810839.0000842,13/10/24,12:13:59 PM,37.9352283337,23.6618248362,1.8242,179.66,102.0,6656.633836183151,17.201

1728810841.0001135,13/10/24,12:14:01 PM,37.9352035518,23.6618182888,1.8,185.42,102.0,6653.823588958839,18.273

1728810843.0001106,13/10/24,12:14:03 PM,37.9351650302,23.6618142159,1.9992,188.28,102.0,6649.532908798432,18.273

1728810844.000113,13/10/24,12:14:04 PM,37.9351419384,23.6618130577,2.0468,188.66,107.0,6646.96780680178,18.273

1728810845.000111,13/10/24,12:14:05 PM,37.935117914,23.6618104276,2.0468,191.98,107.0,6644.291207332118,18.273

1728810846.0001106,13/10/24,12:14:06 PM,37.9350964351,23.6618066056,2.0582,195.5,107.0,6641.883592056833,19.329

1728810847.0001283,13/10/24,12:14:07 PM,37.9350780312,23.661798649,2.0357,197.7,107.0,6639.724414952906,19.329

1728810849.000108,13/10/24,12:14:09 PM,37.9350407722,23.6617867829,2.0746,200.23,108.0,6635.459313969337,19.329

1728810850.0001092,13/10/24,12:14:10 PM,37.9350198574,23.6617773393,2.1236,197.91,108.0,6632.993895184908,19.329

1728810851.0001116,13/10/24,12:14:11 PM,37.935000661,23.661770197,2.1255,197.45,108.0,6630.772601983743,19.699

1728810852.0001125,13/10/24,12:14:12 PM,37.9349838988,23.6617595059,2.1391,207.53,108.0,6628.688171270736,19.699

1728810853.0001163,13/10/24,12:14:13 PM,37.9349665039,23.6617468481,2.2068,207.99,108.0,6626.459725934133,19.699

1728810854.0001178,13/10/24,12:14:14 PM,37.9349453067,23.6617338391,2.2068,208.2,106.0,6623.843728343178,19.699

1728810855.0001204,13/10/24,12:14:15 PM,37.934927364,23.6617176625,2.2111,212.44,106.0,6621.396576605457,19.699

1728810856.0001216,13/10/24,12:14:16 PM,37.9349102519,23.6616974993,2.2681,214.13,106.0,6618.798616048358,20.449

1728810857.0001235,13/10/24,12:14:17 PM,37.934892365,23.6616811158,2.2681,217.53,106.0,6616.345866360859,20.449

1728810858.0001252,13/10/24,12:14:18 PM,37.9348768888,23.6616627173,2.2681,217.98,106.0,6613.986475770193,20.449

1728810859.0001276,13/10/24,12:14:19 PM,37.9348613076,23.6616407327,2.3119,220.88,106.0,6611.393014646684,21.177

1728810860.0001283,13/10/24,12:14:20 PM,37.9348456629,23.6616204036,2.3779,223.46,106.0,6608.901202926992,21.177

1728810861.0001292,13/10/24,12:14:21 PM,37.9348322131,23.6615993731,2.3779,225.64,106.0,6606.52495299921,21.177

1728810862.0001302,13/10/24,12:14:22 PM,37.9348200371,23.6615818551,2.3089,224.61,106.0,6604.476040829841,21.177

1728810863.000132,13/10/24,12:14:23 PM,37.9348064397,23.6615652215,2.2707,222.21,106.0,6602.374621716274,21.177

1728810864.0001326,13/10/24,12:14:24 PM,37.9347916875,23.6615513956,2.2337,221.49,110.0,6600.335407762204,21.905

1728810866.0001345,13/10/24,12:14:26 PM,37.9347628504,23.6615237333,2.1971,224.98,110.0,6596.315652653494,21.905

1728810867.000135,13/10/24,12:14:27 PM,37.9347469871,23.6615106714,2.1806,222.22,110.0,6594.213574945903,21.905

1728810868.000136,13/10/24,12:14:28 PM,37.9347325909,23.6614954415,2.1698,221.65,110.0,6592.128915013389,21.905

1728810870.0001361,13/10/24,12:14:30 PM,37.9347059106,23.6614667635,2.131,221.6,110.0,6588.239767242416,22.677

1728810872.0001378,13/10/24,12:14:32 PM,37.9346788113,23.6614362913,2.1103,219.45,110.0,6584.211960485024,22.677

1728810873.0001378,13/10/24,12:14:33 PM,37.9346626842,23.6614223504,2.1103,218.11,110.0,6582.042599894322,22.677

1728810874.0001373,13/10/24,12:14:34 PM,37.9346474176,23.6614093879,2.0838,217.3,110.0,6580.0005680049035,22.677

1728810875.0001383,13/10/24,12:14:35 PM,37.9346327761,23.6613939123,2.0688,216.92,110.0,6577.881166326783,22.677

1728810877.0001383,13/10/24,12:14:37 PM,37.9346049047,23.6613696857,2.0351,217.05,110.0,6574.125363367217,22.677

1728810879.000139,13/10/24,12:14:39 PM,37.9345816438,23.6613387347,2.0034,219.09,110.0,6570.374493751814,22.677

1728810881.0001378,13/10/24,12:14:41 PM,37.9345538491,23.6613117698,2.0072,219.44,110.0,6566.483897785423,22.677

1728810883.000138,13/10/24,12:14:43 PM,37.934531248,23.6612819378,1.973,220.21,110.0,6562.8547655767725,22.677

1728810885.0001378,13/10/24,12:14:45 PM,37.9345030822,23.6612586838,1.9666,219.09,107.0,6559.119470433195,24.957

1728810886.0001373,13/10/24,12:14:46 PM,37.9344892443,23.6612398862,1.9594,220.82,107.0,6556.863417346554,24.957

1728810887.0001373,13/10/24,12:14:47 PM,37.9344769791,23.6612218316,1.9529,221.09,107.0,6554.772385771939,24.957

1728810888.0001376,13/10/24,12:14:48 PM,37.9344631954,23.6612067206,1.9529,220.51,107.0,6552.74623581568,24.957

1728810889.0001378,13/10/24,12:14:49 PM,37.9344478214,23.6611900852,1.974,220.78,108.0,6550.49889513601,25.327

1728810891.0001361,13/10/24,12:14:51 PM,37.9344214572,23.6611626518,1.98,223.67,108.0,6546.706902495641,25.327

1728810892.0001364,13/10/24,12:14:52 PM,37.9344092482,23.6611457552,1.98,225.56,108.0,6544.696257923982,25.327

1728810894.000136,13/10/24,12:14:54 PM,37.9343892885,23.6611214219,1.8705,225.93,98.0,6541.616661180528,26.398

1728810896.000135,13/10/24,12:14:56 PM,37.9343668042,23.6610954541,1.8705,226.17,98.0,6538.234440430635,26.398

1728810898.0001345,13/10/24,12:14:58 PM,37.9343441036,23.6610596691,1.8752,224.9,98.0,6534.203956774231,26.398

1728810900.0001338,13/10/24,12:15:00 PM,37.9343216773,23.661024807,1.9294,229.51,107.0,6530.255737400377,27.04

1728810902.000132,13/10/24,12:15:02 PM,37.9343011889,23.6609919364,1.906,230.11,107.0,6526.578586578911,27.04

1728810904.000132,13/10/24,12:15:04 PM,37.9342783486,23.6609599834,1.9259,230.03,107.0,6522.794775475279,27.04

1728810906.0001314,13/10/24,12:15:06 PM,37.9342563002,23.6609282447,1.9072,229.35,107.0,6519.083467707096,27.41

1728810908.0001297,13/10/24,12:15:08 PM,37.934236545,23.6608945549,1.8821,229.73,107.0,6515.398458467884,27.41

1728810910.0001287,13/10/24,12:15:10 PM,37.934216595,23.6608650152,1.8633,229.94,100.0,6511.985731074299,28.482

1728810912.0001278,13/10/24,12:15:12 PM,37.9341923794,23.6608302255,1.8726,228.69,100.0,6507.914165776412,28.482

1728810913.000128,13/10/24,12:15:13 PM,37.934179251,23.6608140653,1.8808,228.26,100.0,6505.879081914052,28.482

1728810915.0001268,13/10/24,12:15:15 PM,37.9341587761,23.6607781786,1.8967,230.12,102.0,6501.9909932942055,28.814

1728810917.000126,13/10/24,12:15:17 PM,37.9341347528,23.6607446955,1.8967,229.74,102.0,6498.019345175963,29.146

1728810918.0001254,13/10/24,12:15:18 PM,37.9341214543,23.6607293387,1.9046,229.04,102.0,6496.019027623183,29.146

1728810919.000124,13/10/24,12:15:19 PM,37.9341070688,23.660711874,1.9719,228.52,100.0,6493.803929328295,29.146

1728810920.0001245,13/10/24,12:15:20 PM,37.9340935627,23.6606967516,1.9719,228.01,100.0,6491.800278771974,29.832

1728810922.000123,13/10/24,12:15:22 PM,37.9340662078,23.6606627557,1.9565,226.65,100.0,6487.539970630292,29.832

1728810923.0001223,13/10/24,12:15:23 PM,37.9340501001,23.6606415654,2.0663,226.59,100.0,6484.958000611272,29.832

1728810924.0001225,13/10/24,12:15:24 PM,37.9340349131,23.6606242087,2.0265,226.67,101.0,6482.684323009112,29.832

1728810926.0001206,13/10/24,12:15:26 PM,37.9340087037,23.6605952455,2.0388,226.25,101.0,6478.81835947037,30.164

1728810928.0001202,13/10/24,12:15:28 PM,37.9339802929,23.6605684091,2.014,225.59,101.0,6474.880094875619,30.164

1728810930.0001194,13/10/24,12:15:30 PM,37.9339541195,23.6605405193,2.0399,226.89,101.0,6471.078669208003,30.496

1728810932.0001178,13/10/24,12:15:32 PM,37.9339291938,23.6605089558,1.9974,228.96,101.0,6467.160347458178,30.496

1728810934.000117,13/10/24,12:15:34 PM,37.9339140856,23.6604735831,1.8689,230.98,94.0,6463.627428652602,30.496

1728810936.0001159,13/10/24,12:15:36 PM,37.9338930683,23.6604413419,1.922,224.27,94.0,6459.956571889354,30.833

1728810938.0001147,13/10/24,12:15:38 PM,37.9338675383,23.66041113,1.922,213.17,94.0,6456.072805992965,31.17

1728810940.000114,13/10/24,12:15:40 PM,37.9338394963,23.6603860305,1.9409,213.09,101.0,6452.257532351805,31.17

1728810942.0001123,13/10/24,12:15:42 PM,37.9338141359,23.6603593018,1.9081,214.49,101.0,6448.590846843264,31.507

1728810944.0001125,13/10/24,12:15:44 PM,37.9337871586,23.6603339302,1.9111,229.4,98.0,6444.8571153275225,31.713

1728810945.0001116,13/10/24,12:15:45 PM,37.9337739296,23.6603184814,1.9111,240.07,98.0,6442.857000751086,31.713

1728810947.0001101,13/10/24,12:15:47 PM,37.9337583396,23.6602889474,1.8279,229.78,98.0,6439.73689246277,31.919

1728810949.000109,13/10/24,12:15:49 PM,37.9337296773,23.6602659783,1.7786,221.87,99.0,6435.968833234421,32.256

1728810951.0001082,13/10/24,12:15:51 PM,37.9336943384,23.6602448667,1.8281,184.74,99.0,6431.629484024707,32.593

1728810953.0001078,13/10/24,12:15:53 PM,37.9336665643,23.6602555239,1.8227,155.77,99.0,6428.407478026617,32.593

1728810955.0001056,13/10/24,12:15:55 PM,37.9336313173,23.6602758864,1.9905,159.26,108.0,6424.105159934202,32.93

1728810957.0001044,13/10/24,12:15:57 PM,37.9336009342,23.6602891222,1.8985,175.6,108.0,6420.53769921838,33.584

1728810959.000104,13/10/24,12:15:59 PM,37.933568766,23.6602783094,1.9156,191.46,113.0,6416.842821495543,33.584

1728810961.0001032,13/10/24,12:16:01 PM,37.9335362321,23.6602589957,1.9355,205.18,113.0,6412.85248695874,34.334

1728810962.0001025,13/10/24,12:16:02 PM,37.9335198659,23.6602459473,1.9355,213.94,113.0,6410.704071012476,34.334

1728810964.000101,13/10/24,12:16:04 PM,37.9335012442,23.6602132999,1.9262,254.42,115.0,6407.167266295868,35.138

1728810966.000133,13/10/24,12:16:06 PM,37.9335092368,23.6601750515,1.8587,266.47,115.0,6403.689838223925,35.138

1728810968.00013,13/10/24,12:16:08 PM,37.9335161656,23.660137415,1.6765,286.55,115.0,6400.2930590756505,35.138

1728810970.000133,13/10/24,12:16:10 PM,37.933542279,23.6601185785,1.7753,329.74,115.0,6396.954936025239,35.962

1728810971.000135,13/10/24,12:16:11 PM,37.9335608238,23.660108135,1.7753,332.14,115.0,6394.701093104607,35.962

1728810972.0001402,13/10/24,12:16:12 PM,37.9335783605,23.6601006324,1.7977,339.57,115.0,6392.645898910182,35.962

1728810973.000146,13/10/24,12:16:13 PM,37.9335961702,23.6600915037,1.8384,339.32,115.0,6390.512427444223,35.962

1728810974.0001464,13/10/24,12:16:14 PM,37.9336130576,23.6600814692,1.8384,338.59,119.0,6388.4408122282985,36.786

1728810975.0001452,13/10/24,12:16:15 PM,37.9336298035,23.6600708248,1.8995,335.42,119.0,6386.359845479382,36.786

1728810976.0001445,13/10/24,12:16:16 PM,37.9336511128,23.660061934,2.0382,336.91,119.0,6383.868824858713,36.786

1728810977.0001466,13/10/24,12:16:17 PM,37.9336716568,23.6600529089,2.0382,342.16,119.0,6381.454458301515,36.786

1728810979.0001512,13/10/24,12:16:19 PM,37.9337080538,23.6600397527,2.0397,340.49,124.0,6377.2522753215435,38.088

1728810980.0001526,13/10/24,12:16:20 PM,37.9337267,23.6600294747,2.1258,339.98,124.0,6374.994009104835,38.088

1728810981.0001564,13/10/24,12:16:21 PM,37.9337468477,23.6600205837,2.1838,339.28,124.0,6372.62505866934,38.088

1728810982.0001593,13/10/24,12:16:22 PM,37.9337675326,23.6600110504,2.1504,339.15,124.0,6370.180959797984,38.088

1728810984.0001652,13/10/24,12:16:24 PM,37.9338022295,23.659992628,2.1685,333.21,129.0,6366.00311141317,38.549

1728810985.0001671,13/10/24,12:16:25 PM,37.9338209797,23.659978066,2.1976,332.11,129.0,6363.559743900477,38.549

1728810986.0001698,13/10/24,12:16:26 PM,37.9338400359,23.6599677528,2.1976,332.85,129.0,6361.258481385835,38.549

1728810987.0001724,13/10/24,12:16:27 PM,37.9338589876,23.6599594695,2.1976,334.08,129.0,6359.032463671146,38.549

1728810988.0001745,13/10/24,12:16:28 PM,37.933879538,23.6599507195,2.2051,334.97,129.0,6356.625262584438,38.549

1728810989.000176,13/10/24,12:16:29 PM,37.9338976026,23.6599423092,2.2051,334.89,130.0,6354.488211676417,39.497

1728810990.0001774,13/10/24,12:16:30 PM,37.9339147795,23.6599322873,2.1973,335.71,130.0,6352.387942342903,39.497

1728810991.0001793,13/10/24,12:16:31 PM,37.9339327536,23.6599236951,2.17,338.45,130.0,6350.25470405195,39.497

1728810992.0001812,13/10/24,12:16:32 PM,37.933949974,23.659916413,2.1123,339.6,130.0,6348.238968831298,39.497

1728810994.000183,13/10/24,12:16:34 PM,37.9339831087,23.6599011981,2.1028,341.65,121.0,6344.32551298221,40.928

1728810995.0001848,13/10/24,12:16:35 PM,37.9340035126,23.6598932427,2.1028,344.09,121.0,6341.955255932374,40.928

1728810996.0001857,13/10/24,12:16:36 PM,37.9340228799,23.6598878367,2.1565,344.34,121.0,6339.753673415521,40.928

1728810997.0001867,13/10/24,12:16:37 PM,37.9340416517,23.6598834532,2.1777,343.84,121.0,6337.634758066737,40.928

1728810998.000187,13/10/24,12:16:38 PM,37.9340628889,23.6598774649,2.1777,344.96,121.0,6335.219463377785,40.928

1728810999.000189,13/10/24,12:16:39 PM,37.934079975,23.6598681842,2.1896,344.07,114.0,6333.154944338554,41.818

1728811000.0001895,13/10/24,12:16:40 PM,37.934097933,23.6598623677,2.2134,344.32,114.0,6331.097152768685,41.818

1728811001.0001895,13/10/24,12:16:41 PM,37.9341194897,23.6598549938,2.2134,344.33,114.0,6328.6182064820605,41.818

1728811002.0001898,13/10/24,12:16:42 PM,37.9341383798,23.6598502581,2.1992,344.81,114.0,6326.480564558666,41.818

1728811003.0001903,13/10/24,12:16:43 PM,37.9341555444,23.6598418439,2.1992,344.0,114.0,6324.436824387402,41.818

1728811004.0001907,13/10/24,12:16:44 PM,37.9341778087,23.6598342287,2.2531,346.22,122.0,6321.87652374788,41.818

1728811005.000191,13/10/24,12:16:45 PM,37.9341956857,23.6598292314,2.2531,347.1,122.0,6319.844213053914,42.632

1728811007.0001917,13/10/24,12:16:47 PM,37.9342283446,23.6598203051,2.1284,347.38,122.0,6316.135270323573,42.632

1728811009.0001917,13/10/24,12:16:49 PM,37.9342629958,23.6598244177,2.0962,355.85,118.0,6312.2721965214805,42.632

1728811011.0001917,13/10/24,12:16:51 PM,37.9343019556,23.6598198953,2.0777,348.18,118.0,6307.929606859659,43.532

1728811012.0001926,13/10/24,12:16:52 PM,37.9343199909,23.6598130473,2.0877,347.36,118.0,6305.839215291685,43.532

1728811014.0001912,13/10/24,12:16:54 PM,37.9343524589,23.6598019448,2.0842,345.54,119.0,6302.105595057326,43.532

1728811015.000192,13/10/24,12:16:55 PM,37.9343712963,23.6597967295,2.0804,346.45,119.0,6299.9650578599685,43.966

1728811016.0001922,13/10/24,12:16:56 PM,37.9343898484,23.6597908816,2.0842,347.66,119.0,6297.842661970285,43.966

1728811017.0001917,13/10/24,12:16:57 PM,37.9344102519,23.6597819024,2.2047,347.72,119.0,6295.44434978455,43.966

1728811018.0001915,13/10/24,12:16:58 PM,37.9344324514,23.6597701097,2.2047,344.91,119.0,6292.771112915697,43.966

1728811019.0001917,13/10/24,12:16:59 PM,37.9344539078,23.6597638051,2.1942,349.75,117.0,6290.325915182412,43.966

